69.69.69.163:1630,1663996054,3
69.69.69.164:1640,1663996048,4
69.69.69.165:1650,1663996046,5
69.69.69.166:1660,1663996051,6
69.69.69.167:1670,1663996046,7
69.69.69.168:1680,1663996049,8
69.69.69.169:1690,1663996054,9
69.69.69.170:1700,1663996051,0
69.69.69.171:1710,1663996051,1
69.69.69.172:1720,1663996045,2
69.69.69.173:1730,1663996050,3
69.69.69.174:1740,1663996046,4
69.69.69.175:1750,1663996051,5
69.69.69.176:1760,1663996053,6
69.69.69.177:1770,1663996049,7
69.69.69.178:1780,1663996053,8
69.69.69.179:1790,1663996052,9
69.69.69.180:1800,1663996051,0
69.69.69.181:1810,1663996054,1
69.69.69.182:1820,1663996045,2
69.69.69.183:1830,1663996048,3
69.69.69.184:1840,1663996048,4
69.69.69.185:1850,1663996049,5
69.69.69.186:1860,1663996049,6
69.69.69.187:1870,1663996049,7
69.69.69.188:1880,1663996053,8
69.69.69.189:1890,1663996047,9
69.69.69.190:1900,1663996045,0
69.69.69.191:1910,1663996045,1
69.69.69.192:1920,1663996051,2
69.69.69.193:1930,1663996054,3
69.69.69.194:1940,1663996046,4
69.69.69.195:1950,1663996049,5
69.69.69.196:1960,1663996053,6
69.69.69.197:1970,1663996052,7
69.69.69.198:1980,1663996050,8
69.69.69.199:1990,1663996047,9
69.69.69.200:2000,1663996048,0
69.69.69.201:2010,1663996047,1
69.69.69.202:2020,1663996047,2
69.69.69.203:2030,1663996048,3
69.69.69.204:2040,1663996046,4
69.69.69.205:2050,1663996054,5
69.69.69.206:2060,1663996045,6
69.69.69.207:2070,1663996051,7
69.69.69.208:2080,1663996050,8
69.69.69.209:2090,1663996052,9
69.69.69.210:2100,1663996047,0
69.69.69.211:2110,1663996050,1
69.69.69.212:2120,1663996050,2
69.69.69.213:2130,1663996046,3
69.69.69.214:2140,1663996054,4
69.69.69.215:2150,1663996053,5
69.69.69.216:2160,1663996051,6
69.69.69.217:2170,1663996051,7
69.69.69.218:2180,1663996047,8
69.69.69.219:2190,1663996046,9
69.69.69.220:2200,1663996045,0
69.69.69.221:2210,1663996047,1
69.69.69.222:2220,1663996054,2
69.69.69.223:2230,1663996044,3
69.69.69.224:2240,1663996047,4
69.69.69.225:2250,1663996044,5
69.69.69.226:2260,1663996052,6
69.69.69.227:2270,1663996053,7
69.69.69.228:2280,1663996048,8
69.69.69.229:2290,1663996049,9
69.69.69.230:2300,1663996051,0
69.69.69.231:2310,1663996053,1
69.69.69.232:2320,1663996045,2
69.69.69.233:2330,1663996044,3
69.69.69.234:2340,1663996054,4
69.69.69.235:2350,1663996053,5
69.69.69.236:2360,1663996050,6
69.69.69.237:2370,1663996051,7
69.69.69.238:2380,1663996051,8
69.69.69.239:2390,1663996045,9
69.69.69.240:2400,1663996052,0
69.69.69.241:2410,1663996050,1
69.69.69.242:2420,1663996044,2
69.69.69.243:2430,1663996052,3
69.69.69.244:2440,1663996049,4
69.69.69.245:2450,1663996048,5
69.69.69.246:2460,1663996047,6
69.69.69.247:2470,1663996048,7
69.69.69.248:2480,1663996046,8
69.69.69.249:2490,1663996052,9
